,categoria,product_id,envios,ventas,aceptación,contribución,title
123,complementos,99b260f6-17b5-4eea-9837-53a85b29ccd7,7960,2814,0.3535175879396985,0.024976490235071022,Litsa Foulard closet
124,complementos,9cc05acd-efbf-4f30-87ef-9e5748778f4d,4596,1429,0.3109225413402959,0.01268351263181112,Lux Bag films
125,complementos,9ffedfda-7f4a-4273-8819-dce2d291862d,8906,3650,0.4098360655737705,0.03239665577754415,Kalonice Foulard film 
126,complementos,a18b2972-ea97-4a8c-8f10-18a1bb5f5efc,14118,4023,0.2849553761155971,0.035707327724126055,Talia Bag cahier 
127,complementos,a1a41905-982b-4433-97d5-adcb9c7504ec,28369,7080,0.24956819063061791,0.06284063641233222,Filpaule Bag cow
128,complementos,a2500c57-56c0-4dbe-9bc7-8cbabb6702d5,13480,5784,0.429080118694362,0.05133760466227818,Scossa Scarf sew 
129,complementos,a2b3f4c4-dfbb-4f3e-b23f-805ce29bebf4,13546,7038,0.5195629706186328,0.062467852975987864,Pciblanka Scarf long 
130,complementos,a4a1557e-bd94-4b4a-addd-b36b485d4f8e,2551,1078,0.4225793806350451,0.00956810819950482,Film Bag spring 
131,complementos,a4bf060c-2ffb-4ed2-baf6-ddc3c4e53f2f,1891,440,0.23268112109994712,0.0039053502855121713,Soles Scarf big
132,complementos,a4f09df7-2708-47f8-8955-e9421934c23d,704,330,0.46875,0.0029290127141341285,Tailor Scarf cosy 
133,complementos,a8e89a03-0759-4471-9d06-56b29b6e0516,1407,660,0.4690831556503198,0.005858025428268257,Top Scarf sun
134,complementos,a9c55ac7-c892-4630-b172-da88eaf4072f,4596,1671,0.36357702349869453,0.014831455288842813,Tienette Bag film 
135,complementos,aa577258-3cb0-4aa7-8039-d86b84090aed,6906,3188,0.4616275702287866,0.02829603797775637,Lincoln Scarf closet 
136,complementos,ac660546-1528-4ee7-81f1-59f7825d7ded,13590,5871,0.4320088300220751,0.052109798923277176,Dover Scarf closet 
137,complementos,ac9a8d20-bbd5-4fa9-bbfd-03c9df6d51ca,14603,4136,0.28322947339587756,0.036710292683814406,Closet Bag nice 
138,complementos,ad64f37f-b955-4046-8642-c42ca8ddffcc,836,308,0.3684210526315789,0.00273374519985852,Casual Bag leather 
139,complementos,adbd130d-560c-443a-9847-751447440519,5806,2046,0.3523940750947296,0.018159878827631596,Karios Foulard closet 
140,complementos,b2800db0-2ceb-487c-88de-b78a0ef32422,3211,1363,0.42447835565244474,0.012097710088984293,Berta Scarf closet 
141,complementos,b4218e6b-abb6-4c90-b37c-af4e6964010d,43125,15570,0.3610434782608696,0.13819614533051025,Clogross Scarf raising 
142,complementos,b56d7276-1c0b-45f8-8c2f-34d3b3fee57f,7652,3540,0.4626241505488761,0.03142031820616611,Leeds Scarf closet 
143,complementos,b5a38e32-a611-404c-8e54-93c2f098f7b6,9610,2660,0.2767950052029136,0.02360961763514176,Sandrine Bag bohck 
144,complementos,b6080901-0ae8-4674-bfad-1b8768ebba03,4398,1693,0.38494770350159163,0.015026722803118422,Charis Bag bohck 
145,complementos,bc28a3d9-fec5-4a17-856d-0e524b494d78,2859,1275,0.4459601259181532,0.01131664003188186,Cassie Bag nice
146,complementos,c05367ab-c55e-4ead-872c-a3d8e31d840b,2794,968,0.3464566929133858,0.008591770628126777,Pcbeth Bag leather 
147,complementos,c37b7851-0f25-43fd-978d-e2c5406d99d2,6048,1408,0.2328042328042328,0.012497120913638948,Closet Bag leather 
148,complementos,c4217adc-19eb-4a15-9b83-1102074cf172,1034,484,0.46808510638297873,0.004295885314063388,Dede Bag bohck 
149,complementos,c686ba87-5114-4e0a-9559-65cf09d0ffa1,2090,1144,0.5473684210526316,0.010153910742331644,Pcharia Scarf long 
150,complementos,c7f349bb-18ce-48b9-80ef-9ed3cfba3228,13173,5190,0.3939877021179686,0.04606538177683674,Vinorth Scarf wool 
151,complementos,cbe194a4-8393-4baa-879e-d3f098fd8121,12908,4376,0.3390145646110939,0.03884048374863923,Candice Bag closet 
152,complementos,cd2d7464-de6f-4cc0-97cb-fafe4baf896e,7939,3166,0.39879077969517573,0.028100770463480758,Kara Foulard closet
153,complementos,cd3494dd-80b4-4e5b-9033-c4ed568861e0,8422,3826,0.4542863927808122,0.033958795891749015,Nottine Scarf nude 
154,complementos,ce572ce0-755a-4882-a014-c42474a6fad1,11281,2858,0.25334633454480987,0.02536702526362224,Thisbe Bag cahier 
155,complementos,cec36c3b-b0dc-4127-8a7a-2f9ddb7bba95,3695,1363,0.3688768606224628,0.012097710088984293,Betty Scarf closet 
156,complementos,d034d12d-a544-42a7-aa32-c6ccf233669d,15614,5586,0.35775586012552835,0.0495801970337977,Filomena Scarf wool 
157,complementos,d03d4b59-0807-4f12-86d3-461846648dac,3760,1210,0.32180851063829785,0.010739713285158471,Flower Scarf big
158,complementos,d15073f2-cfc9-4e4c-b6aa-b31a10273776,7587,3342,0.4404903123764334,0.029662910577685626,Jacinda Foulard film
159,complementos,d31746f1-e96e-4f79-b3e8-ba56e76455f6,16582,5498,0.33156434688216135,0.048799126976695265,Filoslo Scarf wool
160,complementos,d45043bf-d5cb-4276-84ac-61bf6758df7d,1078,506,0.46938775510204084,0.004491152828338997,Bamburg Scarf cahier 
161,complementos,d46cc604-60d3-43e3-a27a-9211b7e0e12b,4509,1100,0.24395653138168108,0.009763375713780428,Limba Foulard closet
162,complementos,d5693359-8080-422b-9452-e87508cd72a1,9236,3783,0.40959289735816373,0.03357713665930123,Cathy Bag closet 
163,complementos,d6e72250-26d9-4de1-a889-5b4e53fc9204,4860,2771,0.570164609053498,0.024594831002623243,Ray Scarf multi 
164,complementos,d83ef297-343d-462d-9dd4-2d6b465ed798,3387,1188,0.3507528786536758,0.010544445770882862,Pccadence Bag shopper 
165,complementos,d8acbd5b-28c5-4549-a99e-93c8689b4faf,9654,3320,0.3438989020095297,0.02946764306341002,Salento Scarf fazz 
166,complementos,da8f5ca3-3f85-458f-a54b-27ad07d3b018,14162,4529,0.3197994633526338,0.040198480552465055,Tess Bag cahier 
167,complementos,dc753aa6-8fda-489f-be88-1f54ed164375,3387,1275,0.37643932683790965,0.01131664003188186,Avierrow Scarf print
168,complementos,dd574edf-f255-45c7-806b-cf0e344a9845,12600,4090,0.3246031746031746,0.036302006063056315,Tibolo Bag cahier
169,complementos,de5018d2-e126-4160-b955-1b4ee5122774,4486,1363,0.3038341506910388,0.012097710088984293,Tansy Bag sew 
170,complementos,e02033c5-6276-4ad1-bfe2-51016da53135,4508,2946,0.6535048802129547,0.026148095320724672,Viwinter Scarf check 
171,complementos,e2133afa-80a6-4e21-b616-d25399ae896f,11678,7324,0.627162185305703,0.06500633066157077,Pcinka Scarf long
172,complementos,e39b85c3-f1fc-4b21-a999-28a5f5435063,7961,3254,0.40874262027383496,0.028881840520583194,Durham Scarf closet 
173,complementos,e4000baa-8e51-4647-a892-a49b8c12ce8b,6663,1913,0.2871079093501426,0.016979397945874507,Layna Scarf cahier 
174,complementos,e4155708-06e9-4260-95fb-1d747e892054,1605,594,0.37009345794392523,0.005272222885441431,Crossbody Bag suede 
175,complementos,e4d7429d-9e8c-424b-a3a8-50e4b8d2a970,14360,6906,0.4809192200557103,0.061296247890334214,Bufalo Scarf sew 
176,complementos,e60cd7ae-8445-4349-a56e-0e4cbaae7a86,5476,1759,0.32121986851716583,0.015612525345945249,Filpisa Bag foil 
177,complementos,e6d93cc6-7b51-45c2-a835-b243095f180f,8730,3804,0.4357388316151203,0.03376352837747341,Jacinthe Foulard closet
178,complementos,e6ded763-8058-4430-84ae-fb8d68be190d,7961,2155,0.2706946363522171,0.0191273406029062,Leah Scarf cahier 
179,complementos,e87cda70-8abd-479a-beb2-26631fb42b5d,8511,1979,0.23252261778874397,0.017565200488701332,Soterios Bag bohck 
180,complementos,eae7792d-9d2b-4339-b2bc-a652681c1597,9412,2661,0.2827241818954526,0.0236184934312452,Saphira Bag bohck 
181,complementos,eb1c75af-8b14-4302-8107-565a0e85458b,12579,3804,0.30240877653231574,0.03376352837747341,Bocaraton Bag cow 
182,complementos,eb2afe5a-3645-4899-b5ea-144ac2a1904c,5696,2661,0.4671699438202247,0.0236184934312452,Derbey Foulard closet
